"Part";"Value";"Device";"Package";"Description";"";
"C1";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C4";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C5";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C6";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C7";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C8";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C9";"680nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C10";"680nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C11";"680nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C12";"680nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C13";"220nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C14";"1.2uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C15";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C16";"18pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C17";"18pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C18";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"CONF0";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";
"CONF1";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";
"CONF2";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";
"IC1";"XE167FM";"XE167FM";"LQFP144";"Infineon XE167FM";"";
"JP2";"";"PINHD-1X24";"1X24";"PIN HEADER";"";
"JP3";"";"PINHD-1X24";"1X24";"PIN HEADER";"";
"L1";"470uH@100Mhz";"INDUCTOR0603";"0603";"Inductors";"";
"L2";"470uH@100Mhz";"INDUCTOR0603";"0603";"Inductors";"";
"L3";"470uH@100Mhz";"INDUCTOR0603";"0603";"Inductors";"";
"L4";"470uH@100Mhz";"INDUCTOR0603";"0603";"Inductors";"";
"OCDS";"";"PINHD-2X8_2.54";"2X08";"PIN HEADER";"";
"R1";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"RESET";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";
"TRST";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";
"VAGND";"";"JP1E";"JP1";"JUMPER";"";
"VAREF";"";"JP1E";"JP1";"JUMPER";"";
"Y1";"8Mhz";"CRYSTALSMD";"HC49UP";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";
